id_alerte,date_transaction,client_id,type_transaction,montant_eur,pays_destination,iban_beneficiaire,score_fraude,statut,motif_alerte,analyste,fraude_confirmee
ALT-2023-10000,2023-02-22 00:00,CLI-809570,Virement instantané,3377.42,Allemagne,FR85 7912 1520 1488 2535 323,59,EN_INVESTIGATION,Montant anormalement élevé,,False
ALT-2023-10001,2023-05-23 00:00,CLI-948749,Virement SEPA,3722.09,Espagne,FR99 7924 6574 5552 3547 320,93,ALERTE_FAIBLE,Pays de destination inhabituel,M. Dubois,False
ALT-2023-10002,2023-08-24 00:00,CLI-662275,Virement SEPA,43137.25,Nigeria,FR20 5803 6925 4150 2139 146,87,ALERTE_MOYENNE,Bénéficiaire jamais utilisé,M. Dubois,False
ALT-2023-10003,2023-03-25 00:00,CLI-488162,Paiement carte,22105.68,Italie,FR95 5374 2169 3803 9751 846,60,ALERTE_MOYENNE,Compte bénéficiaire récent (<30j),N. Traoré,False
ALT-2023-10004,2023-01-29 00:00,CLI-340174,Virement SEPA,33799.99,Roumanie,FR61 5386 2084 4456 6155 317,86,BLOQUÉE,Géolocalisation incohérente,N. Traoré,False
ALT-2023-10005,2023-10-27 00:00,CLI-549245,Virement instantané,1691.96,Nigeria,FR56 4593 3266 9348 9085 193,93,ALERTE_HAUTE,Pays de destination inhabituel,S. Chen,False
ALT-2023-10006,2023-08-28 00:00,CLI-654816,Paiement carte,4064.36,Ukraine,FR11 2876 9797 5371 6573 214,63,BLOQUÉE,Heure de transaction suspecte,N. Traoré,True
ALT-2023-10007,2023-04-02 00:00,CLI-632342,Virement SEPA,4792.17,Portugal,FR91 9317 4258 3504 7126 880,55,EN_INVESTIGATION,Modification d'adresse récente,M. Dubois,False
ALT-2023-10008,2023-06-07 00:00,CLI-351083,Virement SEPA,213341.35,Italie,FR82 2290 2403 8962 2133 878,79,ALERTE_MOYENNE,Heure de transaction suspecte,N. Traoré,False
ALT-2023-10009,2023-10-04 00:00,CLI-891952,Virement international,1692.75,Portugal,FR61 7118 8177 9479 8397 223,60,ALERTE_MOYENNE,Pays de destination inhabituel,A. Kowalski,True
ALT-2023-10010,2023-11-20 00:00,CLI-161733,Virement international,3147.39,Allemagne,FR14 6413 2160 9423 4899 385,87,BLOQUÉE,Fractionnement détecté (smurfing),,False
ALT-2023-10011,2023-08-31 00:00,CLI-946721,Retrait DAB,3755.09,Italie,FR22 2588 8062 6804 7939 520,74,ALERTE_HAUTE,Pays de destination inhabituel,M. Dubois,False
ALT-2023-10012,2023-10-02 00:00,CLI-570405,Virement international,3776.96,Nigeria,FR33 5563 8579 5092 2235 553,96,EN_INVESTIGATION,Pays de destination inhabituel,M. Dubois,True
ALT-2023-10013,2023-09-06 00:00,CLI-604740,Virement international,4860.48,Nigeria,FR17 3697 7209 1035 7396 371,95,BLOQUÉE,Bénéficiaire jamais utilisé,N. Traoré,False
ALT-2023-10014,2023-10-05 00:00,CLI-163918,Paiement carte,1196.59,France,FR16 8811 9238 9701 3579 158,77,ALERTE_HAUTE,Heure de transaction suspecte,M. Dubois,True
ALT-2023-10015,2023-05-07 00:00,CLI-707040,Virement instantané,15584.18,France,FR89 2343 7868 9565 6183 367,58,ALERTE_FAIBLE,Fractionnement détecté (smurfing),A. Kowalski,False
ALT-2023-10016,2023-02-07 00:00,CLI-109767,Retrait DAB,255751.06,Allemagne,FR19 9808 4492 9288 5345 235,67,ALERTE_HAUTE,Fractionnement détecté (smurfing),A. Kowalski,False
ALT-2023-10017,2023-12-01 00:00,CLI-654634,Virement SEPA,42518.52,Ukraine,FR48 2697 3200 5333 2891 209,92,EN_INVESTIGATION,Heure de transaction suspecte,A. Kowalski,False
ALT-2023-10018,2023-05-16 00:00,CLI-629959,Retrait DAB,37292.55,Portugal,FR16 2512 7939 5533 1722 103,66,ALERTE_MOYENNE,Bénéficiaire jamais utilisé,S. Chen,False
ALT-2023-10019,2023-12-20 00:00,CLI-256294,Virement instantané,2982.56,France,FR57 3426 8041 3088 1685 415,68,ALERTE_HAUTE,Vitesse de transactions anormale,S. Chen,False
